dr7objid,dr8objid,distance,RA,DEC,petroR50_r,petroR90_r
587722953306669460,1237648674531574095,6.70631887741753E-06,242.51684898,0.36377391,2.283676,5.217352
587722953306669460,1237648674531574095,6.70631887741753E-06,242.51684898,0.36377391,2.283676,5.217352
587722981734416556,1237648702959321260,6.55895769967873E-06,167.08779905,-1.05450865,1.876126,4.167235
587722982840861239,1237648704065765998,4.32320106024957E-06,241.82078582,-0.41084169,1.697502,4.311482
587722983892123805,1237648705117028532,9.4143145298965E-06,190.44875671,0.46598107,1.989624,5.612581
587722983892123805,1237648705117028532,9.4143145298965E-06,190.44875671,0.46598107,1.989624,5.612581
587722983910015309,1237648705134920015,9.79776660713189E-06,231.24474498,0.50732244,2.472566,5.839108
587724197737988108,1237649918962892929,2.84073154127744E-06,8.2438502,14.25220362,1.186404,2.923664
587724197739692219,1237649918964596902,6.16219815280591E-06,12.28512621,14.07897531,1.529547,3.831013
587724198813434003,1237649920038338706,3.5894049218311E-06,12.29134963,14.92482608,2.409405,6.866908
587724232642986191,1237649953867890906,4.645185012067E-06,22.56509334,14.18014185,2.315952,5.882856
587724232642986191,1237649953867890906,4.645185012067E-06,22.56509334,14.18014185,2.315952,5.882856
587724232642986191,1237649953867890906,4.645185012067E-06,22.56509334,14.18014185,2.315952,5.882856
587724232642986191,1237649953867890906,4.645185012067E-06,22.56509334,14.18014185,2.315952,5.882856
587724233173696667,1237649954398601412,5.15919619100652E-06,8.04843975,15.25550218,2.315274,6.195446
587724233173696667,1237649954398601412,5.15919619100652E-06,8.04843975,15.25550218,2.315274,6.195446
587724240694608065,1237649961919512770,5.47137584607936E-06,52.92488066,-7.22282588,2.075659,5.400389
587724242836258907,1237649964061163591,2.09438446838526E-06,39.28545601,-7.14327603,1.581613,4.024334
587724649800990843,1237650371025895570,3.26671316812625E-06,196.22691354,-2.18390612,2.253675,5.213971
587724650866213071,1237650372091117776,3.57963868051448E-06,176.76396236,-1.31988771,2.312606,5.911487
587725040099786936,1237650761324691637,1.37190804472422E-05,198.02165922,-2.79036662,1.67216,4.141278
587725040099786936,1237650761324691637,1.37190804472422E-05,198.02165922,-2.79036662,1.67216,4.141278
587725040626303102,1237650761851207910,1.16194782224543E-05,174.32270456,-2.31829736,3.058978,6.717278
587725040637444196,1237650761862348897,4.04441433211568E-06,199.76988769,-2.31051364,2.129447,5.200378
587725040637444196,1237650761862348897,4.04441433211568E-06,199.76988769,-2.31051364,2.129447,5.200378
587725470674714825,1237651191899619530,0.000101842316837513,145.21781377,59.46091571,1.461789,4.254353
587725470674714825,1237651191899619530,0.000101842316837513,145.21781377,59.46091571,1.461789,4.254353
587725470674714825,1237651191899619530,0.000101842316837513,145.21781377,59.46091571,1.461789,4.254353
587725475491741900,1237651196716646629,7.94278599353283E-05,151.60846803,61.85293142,1.959641,4.606931
587725551198142664,1237651272423047354,0.00011439956492407,125.97544978,50.71746126,2.070285,5.265813
587725551205089402,1237651272429994148,0.000102193995602148,146.70689428,61.84126025,1.613094,5.151216
587725551205875852,1237651272430780550,9.34788679524871E-05,150.05769946,62.78430063,2.108203,5.161368
587725576424784091,1237651297649688832,5.36903208172876E-05,260.32321047,60.92840487,2.003491,5.149295
